casting director	70 50
certain safety precautions or provide	53 53 71 50 50
get a mater port 3d tour done any	0 0 0 0 0 0 0 0
busiest acting month	41 41 71
across every single social platform if	50 24 50 50 49 46
property with a bigger price tag	40 31 31 31 31 41
are we actually even working on the right things	67 67 67 67 67 40 49 49 49
And so she ' s making more than 10 times as much money	70 70 67 67 67 67 64 67 67 64 67 68 68
or do I wanna actively go to the shops	49 49 49 49 76 79 50 50 53
where you can ' t keep up with both	79 80 80 80 80 80 71 70 70
and you know how to record your own	70 71 71 71 71 71 68 41
get you on your way down i don ' t have it	67 71 71 49 49 52 77 77 77 77 71 68
permeated within the pigments so yeah	49 79 52 52 79 79
to fall into the trap of staring at their partner the entire time	80 68 80 71 41 41 11 41 41 71 71 71 71
jobs commute to our jobs	47 0 0 0 41
stuff it ' ll help with making the	40 40 40 40 40 40 40 49
which is kind of weird	79 79 79 79 58
And I often find myself approaching things too seriously	52 49 51 51 51 51 21 51 51
headshots at home it is super easy and	79 79 79 79 49 79 79 79
from our jobs we must spend money to	11 11 20 20 79 70 70 70
that is currently on the air then you	40 40 40 40 40 50 50 50
may seem like a small detail it may seem	41 49 71 71 80 80 49 79 79
600 , 000 subscribers on YouTube	58 58 58 58 58 58
professional resume	67 40
this character okay so we ' re not	76 76 76 51 51 51 51 51
expect to pay probably not much more	71 71 71 49 49 49 49
YouTube has made a change	67 67 67 67 67
conflict and relationships and	49 40 50 50
should be the max amount of money you	31 32 32 43 43 40 40 41
a cup of coffee cost of 25 cents	61 70 49 80 43 71 71 71
reviews about the best electronics in	49 49 49 49 77 77
answer is	79 79
So as you can see there is a general trend upwards	70 70 67 67 67 67 67 67 67 67 70
what other photographers are doing	76 76 79 79 79
have any questions please leave them	67 41 71 71 71 71
going on listing present	40 67 40 40
please subscribe to this channel and	52 34 44 68 68 68
Idea number three for making passive income	49 46 46 46 46 67 76
are on high consideration for this job	16 43 43 71 71 41 41
it certainly didn	76 76 76
it ' s gonna force you to study you have	79 79 79 70 70 79 79 79 79 70
you ' re gonna say	0 0 0 41 41
recap number one paid education number	79 76 76 76 76 76
real estate agent in what can they do	31 40 31 31 31 31 40 67
submits to her agency	0 0 0 0
you don ' t have because you don ' t have	52 52 52 52 52 52 80 80 80 80 79
is to keep your demo reel on the shorter	41 71 70 70 70 70 70 70 71
somebody at an audition says here are	52 52 43 43 43 43 52
towards it they ' re gonna say alright	49 49 49 49 49 49 49 49
outsourcing as much as you can	79 43 43 43 43 52
in cleveland that had an office in	68 71 67 67 70 70 70
or they might be looking for just male	79 79 79 53 53 80 77 76
Let ' s now talk about the three factors	0 0 0 0 0 0 0 0 0
translates to the camera guess what even	49 23 41 79 79 79 79
doesn ' t happen all the time but it	49 49 49 49 79 71 71 71 71
but it doesn ' t look that great when you	0 0 0 0 0 0 0 0 0 0
the other side	41 41 41
with the VA loans is that there is a	70 70 70 70 70 70 0 0 0
things automated but because you already	79 79 79 76 79 79
my YouTube Studio app thingy	53 53 44 44 44
This is actually a really good deal	40 40 40 67 76 76 67
where I was able to get out of that	29 29 29 29 29 32 32 29 32
cheapest photographer when you ' re first	71 80 71 71 71 71 71
that you can use to invest in stock market indices	61 49 79 70 70 71 68 64 64 64
to get 30 % off the Annual Skillshare Premium Membership	1 1 1 1 38 68 71 71 68 67
but you should definitely check out mine	58 58 58 58 58 58 58
for a while you can start building up a	79 79 79 79 79 79 79 70 79
you don ' t want to put any money into stocks	71 79 79 79 79 79 71 71 70 31 64
when i lived in ohio i had a really hard	80 80 80 80 70 70 70 70 70 70
you know all these small purchases	31 63 63 63 63 52
There are the window openers and the door knockers	49 52 40 40 19 50 50 50 50
got my start there ' s only two things we	0 11 0 0 0 0 1 1 1 1
informative if you did make sure to	53 53 41 41 41 41 41
lot of money	40 40 40
family residence so that ' s why it	44 40 10 31 31 31 31 31
paying tax one time	31 28 31 31
not really in the industry itself	43 40 43 43 43 71
which is out in the world	49 49 46 49 49 49
questions as you can	68 67 40 40
post that will never get out of here	79 79 79 79 79 79 79 79
various things and I would bid on those	49 76 76 67 64 67 67 67
thousand dollars in credit debt and if	71 70 79 70 43 79 79
you ' ll need to identify the ones that	79 79 79 79 80 79 79 79 79
thumbs up right over here and leave me a	68 68 71 71 71 71 79 79 79
boring dull grunt work having to go through a spreadsheet	71 71 71 71 71 71 71 41 41 49
timed and you have 48 hours to	49 76 49 49 76 76 76
that most people don ' t have too much	79 79 79 79 79 79 79 79 79
get our basic needs met	0 0 0 0 0
so you pay 19 , 000 pounds and corporation tax	76 79 79 58 58 58 61 70 58 61
will be paid off down the road so let	50 41 41 41 41 41 41 71 71
including movies and tv shows	71 70 43 52 80
state ' s real estate department they	40 40 40 40 40 40 40
less fun had I not gone first with those sorts of things	70 70 70 70 70 70 70 64 67 67 67 67
but now he ' s got a team of three other people	52 52 49 49 49 49 49 70 71 71 71 67
bring us to set and as soon as we got	40 40 41 41 41 41 40 40 40 67
basically so let ' s let ' s talk about what	50 41 41 41 41 41 41 41 41 41 41
have mentorships we have technology we	31 40 40 40 40 31
Express the course that I used in the	70 70 49 49 49 49 49 49
So if I wanna take out the price of this car as a dividend	58 58 58 31 31 61 61 58 61 61 61 34 61 61
but i do want to give you guys some	79 79 79 79 79 79 79 79 79
i do think most of you guys	41 49 46 49 49 49 41
it actually ends in november of 2021	79 76 77 79 79 79 79
can just immediately play for the los	50 53 26 26 26 53 53
of these people have evolved and are	32 32 41 41 41 41 41
if you ask me all right number 10 on my	79 70 70 40 40 70 70 70 70 70
you start they throw a curveball at you	79 79 71 68 68 68 68 71
schedules we don ' t have like we ' re now	49 49 49 49 49 49 49 49 49 49 49
and she just could not keep up with	79 79 79 79 79 79 79 79
purchase price of the home because	79 79 79 79 79 79
medical interviews so that makes some	49 10 10 0 0 0
own projects you produce your own	0 0 0 0 0 0
next we have sides now we just talked	70 70 79 70 70 70 79 79
is employment and sadly you cannot buy a	40 70 40 49 49 49 41 40
the next thing that every actor will	50 77 77 77 50 49 50
it really depends on the lender so take	40 53 71 71 71 40 40 40
it ' s basically when you ' re getting a	40 40 40 31 4 4 4 4 31 31
assistant who works for me and just a	79 79 79 79 79 79 79 80
control as actors	71 71 77
this this is basically a cheat code a	79 79 79 79 79 79 79 79
best performance in the history of the	67 67 68 67 70 70 70
you ' re interested in learning my 10 step	68 68 68 71 71 71 71 79 79
week i got a lot of	79 79 79 79 79 79
hey give me some auditions	50 50 50 50 77
the commercial world a typical example	71 41 49 41 43 67
a year and so ultimately as robin says	0 0 79 49 71 11 11 11
nine union productions can do whatever	41 41 40 79 79 79
downsides now like I briefly mentioned	76 49 49 50 50 49
now before we move on to the last two	40 79 79 52 50 50 50 50 53
career in itself all right man this was	19 19 19 19 19 46 19 49
out and throw a 100 bill away right and	40 40 31 31 49 49 49 49 40
by myself and realize that this is the worst thing ever	64 64 64 70 70 70 70 53 53 80 80
means that we see just how amazing humanity is	49 49 52 79 80 71 54 53 53
get the opportunity to do theater	79 79 79 79 79 79
house without a job i mean it sort of	40 49 50 53 40 40 40 31 31
I ' m very quick at moving from one thing	62 62 62 62 62 62 62 62 62 62
take your money by offering you false	70 70 67 67 67 70 71
oh i want to see this person audition	77 80 77 74 74 80 80 77
competitive wages and safe excellent	71 71 71 71 41
is five pound 50	0 0 0 0
very roughly very average lead	63 59 59 59 67
I might be too young for other parts and	40 50 50 50 81 81 81 80 80
great you can put all of that onto your	49 49 79 71 71 71 68 71 71
television shows right there are	76 76 73 67 67
normal job or normal other activities	58 40 40 40 40 67
shopping for the last like	70 71 40 49 49
And so the tip here is that if you ' re worried	67 68 65 65 68 68 67 67 67 67 67 67
exciting time but you also need to be	79 79 79 79 79 79 79 70
business so you can get those right off	71 40 40 40 28 31 31 31
or i want an audition i ' m a really good	41 40 40 40 40 41 41 41 41 41 41
I don ' t even bother looking at it	61 49 49 49 49 50 49 76 76
and trying to figure out what the best way	67 67 76 76 76 76 76 73 73
into the film and television industry my	71 71 71 71 71 71 71
properties let ' s say you have a property	67 67 67 67 70 70 70 67 67
hopefully this was a reasonable introduction	67 67 70 70 70 71
And I think she has around 600 Patreons	58 58 58 58 58 58 58 58
now leading up to your test date you	40 40 40 40 40 40 40 40
to the next section	0 0 0 0
managers also make anywhere between a 10	80 80 80 71 41 40 40
well because that one is a little bit	79 79 79 79 79 79 79 79
you once you graduate high school there	79 79 77 80 80 80 80
and what factors should you take into	70 70 71 71 71 71 71
once or twice a month i see agents and	50 50 67 67 67 67 67 67 70
in the video description	68 50 49 49
but if you ' re investing in the longterm	79 76 79 79 79 79 79 70 70
God this video ' s getting really long	52 52 52 52 52 52 52 52
about it it has to work for you is	32 41 41 41 41 41 40 40 40
thank you for watching and if you	49 49 49 49 49 49 49
that casting room for hours watching	49 40 49 49 49 41
wearing my pain free performance	41 41 41 49 49
even if it ' s not a big film and	71 49 49 49 49 49 49 79 79 80
direct path that works for everybody we	49 40 40 40 40 40 40
putting it for free on the internet once a week	41 41 41 41 41 41 41 41 41 41
it also applies to anyone who wants to	40 40 49 49 40 40 40 40
the acting career center here to help	43 79 80 80 77 77 77
should say and what you definitely	49 41 71 71 77 41
you know focus 100	40 40 40 40
your career	71 67
going to show you what my acting resume	50 49 49 49 49 50 49 49
if you did the show in school you would	0 0 0 0 0 0 0 0 0
set one day	77 50 49
I hope you guys learned something from	79 79 79 79 79 79 79
you can do the work yourself to create	50 51 50 80 50 50 50 50
exponential phase of investing now	40 40 49 40 41
of time and your university years trying to	80 50 50 50 50 50 50 50
yeah yeah well that ' s great that ' s great	49 49 49 50 50 50 50 50 50 50 49
flexibility so that you know I can be	49 49 49 49 49 49 49 50
in the future is uh the cost of joining	49 41 41 68 67 67 67 67 49
in your life	70 70 70
lot of people are scared because they	79 79 79 79 79 61 61
same website if they if they	50 50 41 50 41 41
and then they translated that into their	50 50 50 40 41 71 71
the 3430 group does is it shows people	41 41 41 41 41 41 41 41
best place to live to pursue a career in	70 70 70 70 70 71 71 71 71
cut from the movie and you only got to	49 49 49 49 40 40 41 41 41
personal brand that professional	49 50 49 76
actors access to the same degree the	79 79 79 79 79 49 79
especially when you are brand new hey	41 71 71 71 71 67 40
for someone that lived in another	67 67 67 70 70 67
my dad was a software engineer and my	79 79 79 70 70 40 71 71
your movie	52 71
Master Boring Fundamentals : Boring Is Fun	46 67 64 64 64 64 64
And then people can take your course	49 70 70 70 70 49 49
entire life to real estate so yeah know	79 79 79 79 79 70 79 79
oscar - winning actors the link is in the	41 41 41 68 41 67 67 67 67
Then you think damn I ' ve lost 20 % of my investment	70 49 49 52 52 52 52 49 49 49 49 49 49
this happens quite a bit in this	49 71 71 71 71 71 71
And you ' re gonna keep up for the first	76 76 76 76 76 76 76 76 76 76
And therefore my parents are my emergency fund	44 44 41 44 71 49 41 41
by taking photos at events and taking photos even of	79 76 76 76 79 76 79 79 76 76
your money is working for you so	79 79 79 79 50 79 79
please hire me i ' m a graphic designer	41 71 71 71 71 71 71 71 71
anything that i can help you guys	71 70 70 79 79 79 79
that you show up in the world	79 79 79 79 79 79 79
definitely it was definitely a Twitter	49 49 49 49 49 49
interested in learning my 10 step	71 71 71 71 71 71
if you want to become an actor on	71 71 71 71 71 71 71 71
so that each month he has to do a very small amount	58 59 59 59 59 58 58 58 58 58 62 59
me I ' ll be very reliable and I ' ll always	49 49 49 49 49 79 80 80 80 80 80 79
everyone to begin with and it was how I	0 0 1 0 1 0 0 0 0
what is due and when it is due because	61 43 79 71 71 76 40 40 70
and live a healthier lifestyle it can be	50 50 50 80 50 41 50 49
instructions as best as you can if you	41 41 71 79 52 52 49 79
showcase for	49 68
into my email list and growing it has	79 79 79 79 79 79 79 79
a property manager they ' ll usually	71 71 40 41 41 41 40
but hollywood the industry the industry	41 49 49 49 50 50
stronger these days you pretty much have	79 79 79 79 70 70 79
you need a new roof	31 31 58 31 31
basically there ' s only three ways three	19 19 19 19 19 1 1 1
real estate is such an amazing way to	34 31 43 43 70 61 61 61
for those of you who are still in school	41 41 41 41 41 41 41 41 41
literally hundreds of services you can	0 0 0 0 0 0
group of people	50 50 50
to subscribe the more watch time they ' re gonna get	80 80 71 80 80 80 80 80 80 80 80
with you and the question form and at	71 67 68 68 71 71 71 71
audition how likely we are to get the	76 77 71 71 71 68 71 70
see that you ' ve been taking classes they	79 79 79 79 79 49 49 77 77
but if you ' re willing to take that risk	79 79 79 79 79 79 79 79 79 79
know it ' s it ' s your time use it well I	49 49 49 49 49 49 49 49 49 49 49 49 49
So I ' m not allowed to tell you how much money	0 0 0 0 0 0 0 0 0 0 0 0
I ' ve never auditioned for that casting	32 32 32 33 32 32 32 41
of this when i was living in cleveland	49 50 80 80 80 80 80 80
and they could have been considering	76 76 76 76 76 76
some clips through so you can see what	0 0 0 0 0 0 0 0
it ' s actually the audition preparation	41 41 41 50 50 40 40
for the next six months	0 0 0 0 0
about my audition process that has	77 77 77 77 77 76
example words such as riparian rights or	49 49 40 40 40 41 40
you ' ll meet many people and create	22 22 22 40 40 40 40 40
ado here is my interview with tyler	49 49 41 71 71 71 71
i had no idea that shaquille o ' neal was	41 49 41 71 71 71 71 71 71 71
the living room it ' s gonna make the	79 79 79 79 79 79 79 79 49
that are written right once you get to	40 40 40 40 40 40 70 70
learned series of videos a couple weeks	71 41 41 41 41 79 79
are 300 actors auditioning for it well	41 76 76 76 76 76 49
beforehand and I had a day or two to	50 51 42 51 51 51 51 50 50
for months for years it really compounds	67 70 40 40 70 79 40
And so we can see that for the first absolutely ages	71 79 79 79 49 49 49 49 19 74 47
the entire customer experience we are	80 53 80 41 11 11
for the three - day weekend and so if all	41 41 41 41 41 41 31 41 32 32
filled in like mine is that ' s totally	0 0 0 0 0 0 0 0 0
color and your eye color and your body	73 73 73 73 76 49 49 49
actors will incur but we	49 79 79 79 79
herniated and I was still eating all the	49 49 49 49 19 19 19 19
show more of a contrast between those	41 49 49 49 49 49 77
It ' s totally worth it it ' s a great skill set	49 49 49 49 50 49 49 49 49 49 49 50 50
for where i moved	79 79 79 79
because you ' re gonna think	76 79 79 79 79 76
not already of course be sure to like	76 49 41 41 71 73 76 73
so here are my tips on finding good	52 79 79 79 79 79 79 79
can anyways thank you so much again and	40 41 41 41 71 71 71 71
is the most important thing and i know a	41 41 41 41 41 49 49 49 49
tools that i recommend	71 71 71 71
but I really wish I ' d started investing in like 2009	70 43 49 71 79 79 79 71 71 71 31 1
lot of people	70 70 71
I ' ve now got a 100 million	40 40 40 40 49 49 40 40
if this is your first time here make	0 0 0 0 0 0 0 0
it ' s very easy to get 28 people a month watching it	58 58 58 58 58 58 58 58 58 58 58 58 58
in the trash I ' m never gonna watch it	76 76 79 79 79 79 79 79 49 49
How do we make ourselves	50 50 50 50 50
to try and get into university	40 40 40 40 40 40
hundred dollars to three hundred dollars	49 49 49 49 41 41
going to help you out much in the field	40 40 40 67 40 49 40 40 10
amount of hours of instruction so here	79 79 79 70 79 0 0
to the point	71 71 71
and it ' s a popular one and that is the	41 41 41 41 41 41 41 41 41 41 41
concrete right here is brand new this is	0 0 0 0 0 1 1 0
and push through them so the agent can	73 73 73 79 79 79 79 79
strongest and so it ' s careful which	41 41 41 41 41 41 41 41
independence which sounds a bit like	1 1 49 49 49 49
you would get different rates	0 44 44 44 44
to find a local brokerage that can	43 52 70 70 70 40 40
casting websites like actors access and	79 79 80 80 77 80
that jump and you feel like you ' re at	79 79 79 79 79 79 79 79 79 79
reasons why you should never turn down	79 79 79 79 79 79 79
experience can get to the	76 76 64 64 64
an acting career	71 71 71
business or an online product shop or	0 0 0 0 0 0 0
jobs the actor agent relationship is the	71 79 80 71 71 41 71
going to give you a flatter look glossy	38 38 38 38 37 37 46 38
thing that he talks about you know apart	32 32 33 33 33 33 33 33
will pass if you go through all their	40 40 40 40 40 40 40 40
If you want to learn how to actually get started	71 71 71 71 41 50 49 52 53 44
or out of town they have to pay their	70 70 70 70 67 67 67 67 70
and there are lots of details that i	40 49 76 76 76 49 40 40
reasonably straightforward to develop	41 80 81 76
from the top line to put into my investments	49 79 49 71 71 71 41 71 71
that operate in that country	51 51 51 51 51
before I go to sleep it ' s not the last	41 41 41 41 41 67 67 67 67 67 67
video but the point is that	40 40 50 50 50 50
acting that is great experience	41 41 41 41 41
to a new market	67 67 67 43
is still does matter just because there	68 68 71 70 41 41 40
about sides in the intro to this video a	79 70 70 70 71 67 40 40 40
a blog about productivity tips and every	11 0 1 0 1 0 0
mind rock wear and couple really pity	71 71 70 70 70 70 43
and that ' s because loads of people have ad block	0 0 0 0 0 0 19 0 0 0 20
joining me here today if this is your	71 71 71 71 71 68 68 68
videos on acting auditioning and career	41 41 41 41 71 71
away from you you own your email email	71 68 49 79 79 79 79 79
Well again if it ' s good you know the world	49 49 49 49 49 49 49 49 49 40 40
Candice were standing on their marks but	26 26 26 26 26 26 26
discussed how actors make money	41 41 50 50 80
this is a huge decision and should not	41 41 41 41 41 41 41 41
store you ' re making money off of that or	0 0 0 0 0 0 0 0 0 49
does come into play	79 79 79 79
there were not many movies being made in	49 49 49 49 52 79 79 79
yes in this day and age you don	49 71 41 41 49 49 49 49
that pressure away	79 79 79
percent is actually a really good	71 71 71 71 71 71
the first step in house hacking is	79 79 79 70 79 79 79
demo reel now the rule of thumb	50 50 53 53 50 68 41
of the next few years and i ' m continuing	41 44 44 71 40 67 67 67 67 67
Now the index bit refers to a stock market index	49 49 79 79 79 70 41 40 49 70
So I ' m paying 9500 pounds less corporation tax	79 79 79 79 49 49 52 80 80 49
which way to turn	79 79 79 79
practicable i don ' t know if that ' s real	41 41 41 41 41 41 41 40 40 40 49
industrial videos and training videos	79 79 71 71 71
point where	79 79
around to complete focus was seamless	41 41 41 41 41 49
I don ' t care	70 71 71 71 71
don ' t know what you ' re doing	0 0 0 0 0 0 0 0 0
pure water filter system and that	0 0 0 0 0 71
and then three weeks went by i didn	71 71 49 49 49 41 41 49
is asked is to strike up a conversation	71 71 71 41 41 41 50 41
next is the bathrooms bathrooms can be	43 22 49 79 79 79 79
pretty important character in the movie	0 0 0 0 0 0
on the back or you ' ll print it on a	52 79 76 76 76 76 76 76 49 49 49
that ' s exactly where they want you to	71 71 71 71 71 71 71 71 71
the means to an end	0 0 0 0 0
wasn ' t there and you know I there ' s no	32 32 32 29 32 32 32 32 32 32 32 41
fantastic way of doing that is by taking	79 79 79 79 79 79 79 79
out there who	49 50 71
you learn the skills you need to break	77 77 77 77 77 80 77 80
states is 54 years old we do have an	79 79 79 79 79 79 79 79 79
productions do so for non	50 67 67 67 67
estate license that ' s amazing	79 79 70 70 70 52
you know the body needs different	46 46 49 46 49 49
And there are all sorts of aspects of our lives	76 76 49 49 49 49 49 46 46 49
of money on the side	79 79 79 79 71
three dollars a month of storage as well	50 50 50 50 50 40 40 40
that need to be repaired before escort	40 40 40 41 40 41 41
something with yourself and look you	52 76 49 49 49 41
800 and we ' re working in a job that pays	1 0 0 0 0 0 1 21 0 21 19
your own demo reel whether it ' s doing it	52 53 53 50 50 50 50 50 80 77
necessary steps the first step to	49 80 79 79 67 67
third time ' s the charm so hopefully at	71 71 71 71 71 71 71 71 71
you can invest as little as a hundred	53 53 53 71 71 71 71 71
back in october of 2020 so right in the	41 41 41 41 70 71 49 49 49
overboard if you went to your audition	76 76 49 49 49 49 49
course your actual audition plays a big	71 40 71 71 71 70 70
do is you want to ask yourself	67 67 40 40 40 40 40
to start one you just make an account	79 79 79 76 67 40 76 58
to make sure you hold the viewers	41 41 41 41 41 41 41
you will have to go through the process	31 34 34 34 34 34 40 40
And if we use the S & amp ; P 500 for example	52 50 24 21 51 51 51 51 51 51 51 51 50
she ' ll be getting to a point where she can quite easily	0 0 0 0 0 0 0 0 0 0 0 0 0
pay mortgage insurance mortgage	79 79 79 79
it says aspect ratio under aspect ratio	71 71 71 71 71 71 71
time to sell so I knew it was really	43 43 79 79 79 79 79 79 79
yeah definitely build that nest egg	52 79 79 79 79 79
character of george on the show	76 79 70 70 61 76
keep that in mind but hey you guys i	53 52 25 25 43 43 43 43 43
not in a position to hey let me get a	41 41 40 40 40 49 49 49 49 40
the very first thing you should do	0 0 0 0 0 0 0
students for recommendations for a	71 71 71 71 71
i ' d love to hear that okay	71 71 71 44 41 41 41 41
that and if you look at some of the top	79 79 79 79 79 79 79 79 49 79
director to keep you in mind for future	37 37 67 64 64 64 41 41
theater and movies and tv shows but	49 49 67 67 67 71 71
think about our jobs at work and when	51 51 51 51 51 51 51 19
if you get an audition for the next	41 40 40 43 40 49 46 73
at this price ever like this is the	0 0 0 0 0 0 0 0
disagree let me know in the comments	80 76 76 76 80 80 80
earlier this year so number one is uh	67 67 68 71 71 71 71 71
for a character like a tv news anchor	43 43 43 40 49 76 49 49
the full three thousand dollars	49 49 52 50 53
early in the morning so if I go to sleep	38 38 38 38 38 40 40 40 40 40
they ' ve made the move here	81 81 81 41 41 71 71
That ' s linked in the video description	41 41 41 41 41 41 41 41
whether you are using a phone a	50 50 50 50 50 40 40
and the alternative you not buying the car	79 81 79 79 79 79 79 79
they ' ll be recording your answer to this	76 76 76 49 49 52 79 79 79
and b without having to put that much effort	61 61 70 76 70 50 81 81 54
i ' ve created multiple videos about that	40 40 40 70 70 70 79 79
go buy the coffee beans buy a coffee	76 79 79 79 70 40 34 79
way you make money through real estate	44 43 71 71 71 71 71
short term memory processing but that ' s fine	70 49 79 80 71 70 70 70 70
make sure to subscribe to this channel	67 68 68 68 70 70 41
to manage their Facebook and Instagram ads	58 58 58 58 58 58 58
including Apple Google Microsoft Facebook	79 79 76 76 76
nothing happens or you know maybe just	50 50 50 50 50 50 50
four on the best investments that i	73 73 79 79 80 80 79
realtor comm all these sites are going	79 79 51 43 43 43 43
So that ' s the logistics out of the way	0 0 0 0 0 0 0 0 0 0
believes in following a dream	71 71 71 71 71
and yet they just want to be part of the	79 79 79 79 79 79 79 79 79 79
but they also want to see you reacting	79 79 76 76 79 70 70 76
if you played luke skywalker in star	0 0 0 0 0 0 0
during the time that they wanted me to	41 40 40 40 40 41 41 41
many things that you can do	50 79 79 79 79 79
top and that ' s just impossible so	79 79 79 79 79 79 70 70
cheat sheet if you haven ' t already	71 71 71 71 49 49 49 49
casting director then is less likely to	52 52 52 52 52 52 52
know how to run the numbers so why do we	40 31 31 31 31 31 40 49 49 49
or like 3 , 000 and $ 7 , 000 per month	52 52 52 52 52 43 52 52 52 52 52 52
the very end of May so I think like May	79 79 79 79 79 79 79 79 79 79
remember i told you earlier that that	41 71 41 41 41 40 67
distract	71
the computer like coding and websites	64 67 67 67 67 67
and feelings were as you were reading them	26 27 27 27 27 27 53 81
a moo a role in a feature film and i	68 68 68 68 68 68 68 68 79 79
so best case scenario let ' s say that	10 10 10 10 19 19 19 10 10
paid off monthly throughout the course	67 70 70 61 61 70
know if you have things you want to	79 79 79 79 79 79 79 79
license and we ' ll talk more about the	67 67 40 40 40 40 40 40 40
working for them if you want to make the	40 67 40 67 40 67 40 40 58
hard and it ' s kind of a more advanced	0 0 0 0 0 0 0 0 0 0
do as much as you can where you are and	41 40 40 70 70 70 70 70 43 70
multi - unit living one of the units and	31 31 31 31 31 28 28 28 31
and sort of gave lots of money for charity	67 67 67 67 46 46 22 49 49
You ' re gonna really enjoy hanging out with people	80 80 80 80 52 52 79 79 79 79
your course then you will apply to take	61 79 79 79 79 79 79 79
But the more you can kind of produce hopefully valuable	70 70 64 64 64 70 70 70 70 67
character was originally written for	79 79 79 79 79
in the description below they always run	67 70 67 70 67 58 70
to the people who have invested in the company	67 67 67 67 67 67 67 40 49
boring boring be enthusiastic and	79 49 49 49 49
income and help you save a lot of money	70 70 67 70 70 70 70 70 70
real estate course this should take	40 40 40 40 49 49
And I first came across this kinda towards the end of 2019	70 70 70 70 71 71 67 67 67 40 40 67
because every time are you thinking	58 31 31 31 31 31
this for this whole page and a half	77 80 50 49 79 76 76 76
it ' s all useful information to have if	40 40 40 70 40 67 67 67 67
spent doing on - camera acting	50 49 79 79 79 80
diagnose what your problems are so	50 68 68 40 40 40
how many	41 41
as a film and television actor you see a	79 79 79 79 79 79 79 79 79
actor by doing these things you can also	80 71 71 71 80 71 71 71
the reason is the phone is a touchscreen	40 40 41 41 41 41 41 41
that ' s gonna get you the best rate and	40 40 40 40 40 40 40 40 40 67
get better at the process of auditioning	51 51 80 71 71 71 76
two to three to four million dollars now	44 53 53 53 79 71 71 44
but we never actually got to be in the	40 41 50 49 49 41 41 41 41
individual activity that acting is	40 40 41 41 49
as well as they do have really good	61 79 70 61 79 79 79 79
gives you an audition	67 76 76 50
would i have had the same amount of	52 52 79 79 79 79 79 79
going to involve some type of blend	79 79 79 79 79 61 79
afford in atlanta when i was looking at	79 79 79 79 79 79 79 79
work on	50 67
nobody in this industry cares if you	79 79 79 76 76 76 76
they were very fast and very efficient	41 41 41 41 41 41 41
so that they could stay on schedule so	43 67 70 70 71 71 71 40
only goes through agencies and are not	80 80 80 80 71 71 79
join the union let me just give you an	41 43 43 80 53 50 50 50 41
fifteen thousand dollars more in a year	67 64 64 67 70 70 70
that and jump on that opportunity	79 79 79 79 79 71
so so I think this video what I wanted	49 49 49 49 49 49 49 49 49
especially because we have all these	70 70 70 40 40 40
times people are just worried about the	41 41 41 41 41 41 41
your eyes should be looking during your	71 71 71 71 41 44 71
step further and talk about how	79 79 79 79 79 79
show and	80 67
because that ' s the thing that I can see in front of me	79 49 49 49 49 43 40 76 79 49 49 49 76 76
was the main character i ' m not 100 sure	40 40 40 41 41 41 41 41 41 40
have a lot of connections number five is	79 79 79 79 79 79 79 79
about this on the internet that people have calculated	70 49 41 41 41 41 41 41 31
imdb profile but you don ' t need to do	79 68 68 67 67 67 67 68 68 71
of what you originally paid for the house	50 50 50 49 79 40 40 70
put down 3 . 5 % for an FHA loan you only	70 70 70 70 70 70 70 70 70 79 79 79
honestly the best place that I	49 71 70 52 41 50
thumbnail that i used for this video is	49 49 50 41 41 41 41 41
if i go into an audition and i don	52 53 50 50 50 50 50 50 50
director or talent agent say that they	79 79 79 79 79 79 50
professional headshot an agent may ask	41 41 41 80 40 40
of setting a daily highlight	79 79 79 76 76
This is very much a set it and forget it strategy	70 40 58 61 40 67 67 70 70 49 49
bold letters right at the top it could	0 0 0 0 0 0 0 0
because they can be extremely lucrative	40 40 40 40 40 67
in most things in life these days	52 52 43 52 52 25 25
reader is standing closer to the camera	64 64 67 67 67 67 67
product there ' s a guy called Kevin Kelly	51 71 71 71 49 49 76 76 77
a look around your house	71 70 49 79 79
trying to I ' m not used I don ' t use your	40 49 49 49 49 49 49 49 49 49 49 49 49
of training	70 71
huge video files or streaming netflix on	70 70 41 31 61 70 43
I was like " Look you have to be able to put in the effort	41 41 40 40 40 31 59 63 63 63 60 63 63 63 63
